City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,west island,-12.1568,96.8225,26.99,83,75,11.32,CC,1692709008
84,olonkinbyen,70.9221,-8.7187,5.9,88,11,3.46,SJ,1692709116
85,sawakin,19.1059,37.3321,40.6,33,97,4.71,SD,1692709340
86,kapa'a,22.0752,-159.319,27.18,86,75,5.14,US,1692709271
87,ban phai,16.06,102.731,27.8,79,100,3.34,TH,1692709271
88,veraval,20.9,70.3667,27.38,82,100,6.55,IN,1692709341
89,kristiansund,63.1115,7.732,20.36,64,0,1.54,NO,1692709342
90,tauste,41.918,-1.2534,41.02,17,7,3.51,ES,1692709342
91,porto seguro,-16.4497,-39.0647,26.36,78,79,4.47,BR,1692709342
92,egilsstadir,65.2653,-14.3948,8.79,92,100,2.79,IS,1692709343
93,al hudaydah,14.7978,42.9545,35.26,52,20,4.3,YE,1692709343
94,aasiaat,68.7098,-52.8699,5.09,85,36,3.76,GL,1692709161
95,kavaratti,10.5669,72.642,28.12,77,98,5.82,IN,1692709165
96,valreas,44.3837,4.9908,40.34,18,0,4.68,FR,1692709344
97,suva,-18.1416,178.4415,20.91,81,100,5.62,FJ,1692709344
98,fale old settlement,-9.3852,-171.2468,27.45,79,5,8.53,TK,1692709186
99,lebu,-37.6167,-73.65,9.95,89,100,2.2,CL,1692709168
100,jiangyin,31.9282,120.3126,24.43,96,83,2.4,CN,1692709345
101,rockland,41.1668,-74.0496,19.9,70,74,0.45,US,1692709346
102,aykhal,66.0,111.5,4.74,74,0,4.68,RU,1692709155
103,varzea da palma,-17.5981,-44.7308,31.2,24,5,1.07,BR,1692709347
104,mount isa,-20.7333,139.5,13.87,38,5,3.6,AU,1692709206
105,kayyerkan,69.3786,87.7439,12.39,100,100,4.35,RU,1692709348
106,wakkanai,45.4094,141.6739,25.05,93,1,5.76,JP,1692709265
107,margineni-munteni,46.6,26.9,35.63,24,16,4.7,RO,1692709349
108,tsiombe,-25.3,45.4833,29.19,39,0,5.67,MG,1692709349
109,sinop,41.7711,34.8709,26.24,28,0,4.4,TR,1692709350
110,westport,41.1415,-73.3579,21.02,71,20,5.14,US,1692709350
111,mar del plata,-38.0023,-57.5575,10.61,86,100,5.36,AR,1692709091
112,punta arenas,-53.15,-70.9167,0.62,92,100,3.08,CL,1692709134
113,linxia chengguanzhen,35.6003,103.2064,13.82,82,22,2.77,CN,1692709099
114,mana,5.6592,-53.7767,28.71,70,45,4.11,GF,1692709352
115,kailua-kona,19.6406,-155.9956,25.28,88,2,1.79,US,1692709352
116,lensk,60.7253,114.9278,12.17,70,1,1.55,RU,1692709157
117,chonchi,-42.6128,-73.8092,4.56,88,35,1.66,CL,1692709167
118,varna,43.2167,27.9167,36.83,55,40,6.17,BG,1692709354
119,invercargill,-46.4,168.35,6.12,86,99,0.89,NZ,1692709113
120,weno,7.4515,151.8468,28.68,73,82,1.62,FM,1692709163
121,st. john's,47.5649,-52.7093,18.42,96,100,5.14,CA,1692709356
122,antsiranana,-12.2787,49.2917,26.87,57,0,8.39,MG,1692709236
123,qaqortoq,60.7167,-46.0333,9.53,90,100,1.5,GL,1692709124
124,huarmey,-10.0681,-78.1522,20.16,85,83,2.57,PE,1692709357
125,east london,-33.0153,27.9116,21.52,46,0,3.09,ZA,1692709162
126,pimentel,-6.8367,-79.9342,20.35,85,99,3.72,PE,1692709358
127,remire-montjoly,4.9167,-52.2667,29.02,74,75,4.12,GF,1692709257
128,nova sintra,14.8667,-24.7167,24.57,79,100,3.35,CV,1692709221
129,port lincoln,-34.7333,135.8667,11.36,67,72,3.38,AU,1692709167
130,hamilton,39.1834,-84.5333,24.93,83,100,1.34,US,1692709198
131,bredasdorp,-34.5322,20.0403,17.79,57,2,13.59,ZA,1692709131
132,ciudad guayana,8.3533,-62.6528,28.62,77,99,2.13,VE,1692709360
133,melekeok village,7.4957,134.6367,27.31,83,75,2.06,PW,1692709360
134,bastrop,32.7562,-91.8724,26.82,83,0,0.0,US,1692709360
135,branson,36.6437,-93.2185,28.24,95,0,2.06,US,1692709361
136,mejit,10.2753,170.8646,28.31,77,66,6.91,MH,1692709362
137,ouro preto do oeste,-10.7481,-62.2158,32.06,29,13,0.72,BR,1692709362
138,kandahar,31.0,65.75,35.6,7,0,6.3,AF,1692709362
139,wailua homesteads,22.0669,-159.378,26.44,87,75,5.14,US,1692709149
140,saipan,15.1355,145.701,27.58,100,99,3.26,MP,1692709105
141,nemuro,43.3236,145.575,20.05,100,100,4.57,JP,1692709055
142,altay,47.8667,88.1167,22.33,34,1,2.81,CN,1692709222
143,inirida,3.8653,-67.9239,26.25,89,100,0.85,CO,1692709364
144,oriximina,-1.7656,-55.8661,32.55,46,9,2.43,BR,1692709364
145,enewetak,11.3474,162.3373,29.09,76,100,7.64,MH,1692709151
146,sao joao batista,-27.2761,-48.8494,22.53,84,100,1.17,BR,1692709365
147,portland,45.5234,-122.6762,15.64,79,0,1.34,US,1692708928
148,kananga,-5.8958,22.4178,39.73,14,18,0.59,CD,1692709366
149,seminole,28.7086,-81.2081,29.08,87,0,2.57,US,1692709366
150,brookings,44.3114,-96.7984,25.77,98,0,5.82,US,1692709193
151,margate,51.3813,1.3862,23.82,70,6,2.24,GB,1692709367
152,kodiak,57.79,-152.4072,11.73,100,100,1.54,US,1692709194
153,luocheng,29.3848,104.0286,25.2,83,72,1.0,CN,1692709368
154,karungdong,5.8844,121.263,26.89,81,100,0.72,PH,1692709368
155,rikaze,29.25,88.8833,14.87,64,100,0.86,CN,1692709369
156,kralendijk,12.15,-68.2667,28.64,81,100,7.17,BQ,1692709290
157,nagqu,31.5,92.0,9.16,62,3,1.17,CN,1692709191
158,touros,-5.1989,-35.4608,28.79,59,13,7.13,BR,1692709370
159,puerto aysen,-45.4,-72.7,3.73,99,100,2.18,CL,1692709150
160,villa gesell,-37.2639,-56.973,11.7,90,100,4.46,AR,1692709371
161,charters towers,-20.1,146.2667,15.67,85,3,4.04,AU,1692709189
162,ribas do rio pardo,-20.4431,-53.7592,30.67,36,100,5.71,BR,1692709372
163,miri,4.4148,114.0089,29.08,84,40,4.12,MY,1692709150
164,vila velha,-20.3297,-40.2925,26.08,83,0,0.45,BR,1692709162
165,illizi,26.4833,8.4667,39.17,12,13,3.49,DZ,1692709374
166,jamestown,42.097,-79.2353,17.23,79,100,2.24,US,1692709190
167,jamjamal,35.5365,44.8317,43.19,8,0,5.65,IQ,1692709374
168,preobrazheniye,42.9019,133.9064,21.92,99,52,0.7,RU,1692709375
169,quatre cocos,-20.2078,57.7625,23.94,78,72,8.04,MU,1692709375
170,puerto armuelles,8.2833,-82.8667,25.99,87,100,1.79,PA,1692709376
171,ndele,8.4109,20.6473,30.88,63,72,1.56,CF,1692709376
172,salalah,17.0151,54.0924,27.05,89,75,3.6,OM,1692709377
173,hastings,50.8552,0.5729,24.99,21,7,6.13,GB,1692709377
174,qamdo,31.1667,97.2333,8.08,67,73,1.25,CN,1692709156
175,luang namtha,20.9497,101.4011,25.01,100,40,2.06,LA,1692709193
176,istgah-e rah ahan-e garmsar,35.2346,52.3094,37.91,12,0,1.36,IR,1692709378
177,polyarnyy,69.1989,33.4478,9.36,82,100,3.23,RU,1692709229
178,atafu village,-8.5421,-172.5159,27.84,79,21,8.72,TK,1692709129
179,bryne,58.7354,5.6477,21.04,74,40,6.17,NO,1692709379
180,sakaiminato,35.55,133.2333,28.52,79,2,2.36,JP,1692709232
181,bardai,11.65,7.2333,32.42,44,12,2.48,NG,1692709149
182,robore,-18.3333,-59.75,31.07,33,72,3.74,BO,1692709380
183,mugia,43.1041,-9.2179,34.39,73,17,6.36,ES,1692709381
